bloque,ts,variable,valor,origen,version,calidad
B10_ARQ,2026-09-01 10:40:00,activepower,17229.73,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-09-01 10:50:00,activepower,17145.555,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-09-01 11:00:00,activepower,17098.102,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-09-01 11:10:00,activepower,17186.111,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-09-01 11:20:00,activepower,16979.201,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-09-01 11:30:00,activepower,16840.059,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-09-01 11:40:00,activepower,16732.352,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-09-01 11:50:00,activepower,16666.012,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-09-01 12:00:00,activepower,17031.832,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-09-01 12:10:00,activepower,16949.684,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-09-01 12:20:00,activepower,16905.98,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-09-01 12:30:00,activepower,16756.555,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-09-01 12:40:00,activepower,16987.336,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-09-01 12:50:00,activepower,16767.309,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-09-01 13:00:00,activepower,17024.162,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-09-01 13:10:00,activepower,16968.547,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-09-01 13:20:00,activepower,17293.29,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-09-01 13:30:00,activepower,17238.803,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-09-01 13:40:00,activepower,17144.049,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-09-01 13:50:00,activepower,17260.217,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-09-01 14:00:00,activepower,17159.863,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-09-01 14:10:00,activepower,17124.852,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-09-01 14:20:00,activepower,16983.363,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-09-01 14:30:00,activepower,17296.232,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-08-31 14:40:00,totalpowerfactor,0.99,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-08-31 14:50:00,totalpowerfactor,0.99,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-08-31 15:00:00,totalpowerfactor,0.9880208,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-08-31 15:10:00,totalpowerfactor,0.99,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-08-31 15:20:00,totalpowerfactor,0.98824966,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-08-31 15:30:00,totalpowerfactor,0.98963964,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-08-31 15:40:00,totalpowerfactor,0.99,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-08-31 15:50:00,totalpowerfactor,0.99,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-08-31 16:00:00,totalpowerfactor,0.99,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-08-31 16:10:00,totalpowerfactor,0.99,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-08-31 16:20:00,totalpowerfactor,0.99,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-08-31 16:30:00,totalpowerfactor,0.99,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-08-31 16:40:00,totalpowerfactor,0.99,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-08-31 16:50:00,totalpowerfactor,0.99,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-08-31 17:00:00,totalpowerfactor,0.9890621,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-08-31 17:10:00,totalpowerfactor,0.99,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-08-31 17:20:00,totalpowerfactor,0.98622966,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-08-31 17:30:00,totalpowerfactor,0.99,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-08-31 17:40:00,totalpowerfactor,0.99,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-08-31 17:50:00,totalpowerfactor,0.99,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-08-31 18:00:00,totalpowerfactor,0.99,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-08-31 18:10:00,totalpowerfactor,0.99,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-08-31 18:20:00,totalpowerfactor,0.99,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-08-31 18:30:00,totalpowerfactor,0.99,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-08-31 18:40:00,totalpowerfactor,0.99,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-08-31 18:50:00,totalpowerfactor,0.99,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-08-31 19:00:00,totalpowerfactor,0.99,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-08-31 19:10:00,totalpowerfactor,0.9866284,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-08-31 19:20:00,totalpowerfactor,0.9897171,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-08-31 19:30:00,totalpowerfactor,0.98922825,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-08-31 19:40:00,totalpowerfactor,0.99,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-08-31 19:50:00,totalpowerfactor,0.9872434,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-08-31 20:00:00,totalpowerfactor,0.99,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-08-31 20:10:00,totalpowerfactor,0.98994577,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-08-31 20:20:00,totalpowerfactor,0.9876865,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-08-31 20:30:00,totalpowerfactor,0.99,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-08-31 20:40:00,totalpowerfactor,0.9867432,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-08-31 20:50:00,totalpowerfactor,0.98300576,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-08-31 21:00:00,totalpowerfactor,0.9816438,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-08-31 21:10:00,totalpowerfactor,0.9856421,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-08-31 21:20:00,totalpowerfactor,0.9733728,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-08-31 21:30:00,totalpowerfactor,0.98345876,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-08-31 21:40:00,totalpowerfactor,0.97686243,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-08-31 21:50:00,totalpowerfactor,0.97147906,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-08-31 22:00:00,totalpowerfactor,0.96698034,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-08-31 22:10:00,totalpowerfactor,0.9683145,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-08-31 22:20:00,totalpowerfactor,0.9577967,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-08-31 22:30:00,totalpowerfactor,0.9471246,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
B10_ARQ,2026-08-31 22:40:00,totalpowerfactor,0.95277977,2026-08-31 14:30:00,v4.1.0-produccion,buena:completo/semana_anterior
